PMID	DOI	Title	PMCID
24324146	10.1073/pnas.1320302111	RNF168 ubiquitylates 53BP1 and controls its response to DNA double-strand breaks : 	PMC3876264
21552324	10.1371/journal.pgen.1001381	Genomic instability, defective spermatogenesis, immunodeficiency, and cancer in a mouse model of the RIDDLE syndrome : 	PMC3084200
20186691	10.1002/humu.21226	Functional evaluation of paraplegin mutations by a yeast complementation assay : 	
21610694	10.1038/emboj.2011.169	Presequence-dependent folding ensures MrpL32 processing by the m-AAA protease in mitochondria : 	PMC3155303
25362358	10.1038/nchembio.1668	Disorder and residual helicity alter p53-Mdm2 binding affinity and signaling in cells : 	
25993413	10.1371/journal.pone.0125745	Label-Free Protein-RNA Interactome Analysis Identifies Khsrp Signaling Downstream of the p38/Mk2 Kinase Complex as a Critical Modulator of Cell Cycle Progression : 	PMC4439058
21423752	10.1371/journal.pone.0017568	HMMerThread: Detecting Remote, Functional Conserved Domains in Entire Genomes by Combining Relaxed Sequence-Database Searches with Fold Recognition : 	PMC3053371
27176048	10.1371/journal.pgen.1006028	Mitochondrial Polyadenylation Is a One-Step Process Required for mRNA Integrity and tRNA Maturation : 	PMC4866704
26554610	10.1038/ncomms9808	Complementation between polymerase- and exonuclease-deficient mitochondrial DNA polymerase mutants in genomically engineered flies : 	PMC4773887
23454757	10.1172/jci64125	The role of mitochondria in aging : 	PMC3582127
22022283	10.1371/journal.pgen.1002324 PGENETICS-D-11-00762 [pii]	The bicoid stability factor controls polyadenylation and expression of specific mitochondrial mRNAs in Drosophila melanogaster : 	PMC3192837
19181702	10.1093/nar/gkp018	Mitochondrial DNA level, but not active replicase, is essential for Caenorhabditis elegans development : 	PMC2665216
21252943	10.1038/embor.2010.206	Purification and identification of endogenous polySUMO conjugates : 	PMC3049431
21028967	10.1515/BC.2010.127	Highlight: The biology of aging: mechanisms and intervention : 	
18006575	10.1113/jphysiol.2007.147470	Reactive oxygen species and fatigue-induced prolonged low-frequency force depression in skeletal muscle fibres of rats, mice and SOD2 overexpressing mice : 	PMC2375543
21938067	nature10296 [pii] 10.1038/nature10296	Absence of effects of Sir2 overexpression on lifespan in C. elegans and Drosophila : 	PMC3188402
25862636	10.1007/s00401-015-1419-y	Abeta is neurotoxic and primes aggregation of Abeta in vivo : 	PMC4469414
	10.1038/srep23102http://www.nature.com/articles/srep23102#supplementary-information	Deletion of endogenous Tau proteins is not detrimental in Drosophila : 	
21531335	10.1016/j.cmet.2011.04.002	MTERF4 regulates translation by targeting the methyltransferase NSUN4 to the mammalian mitochondrial ribosome : 	
25923786	10.1111/brv.12183	From the bush to the bench: the annual Nothobranchius fishes as a new model system in biology : 	
27940653	10.15252/embj.201694902	Hair follicle stem cell cultures reveal self-organizing plasticity of stem cells and their progeny : 	PMC5242381
25301780	10.1101/gad.250993.114	CPSF30 and Wdr33 directly bind to AAUAAA in mammalian mRNA 3' processing : 	PMC4215182
24675359	10.1158/0008-5472.Can-13-2986	Transient antiangiogenic treatment improves delivery of cytotoxic compounds and therapeutic outcome in lung cancer : 	
23555270	10.1371/journal.ppat.1003275	Monomeric Nucleoprotein of Influenza A Virus : 	PMC3610751
24762741	10.1371/journal.pgen.1004315	The challenges of mitochondrial replacement : 	PMC3998882
25317948	10.7554/eLife.03229	A host beetle pheromone regulates development and behavior in the nematode Pristionchus pacificus : 	PMC4270288
23810536	10.1016/j.cub.2013.06.002	CEP120 and SPICE1 cooperate with CPAP in centriole elongation : 	
23042293	10.1126/science.1225625	Intramitochondrial transport of phosphatidic acid in yeast by a lipid transfer protein : 	
22661583	10.1093/nar/gks500	Mitochondrial DNA deletions are associated with non-B DNA conformations : 	PMC3439893
24184823	10.1016/j.mito.2013.10.003	Characterization of the sea urchin mitochondrial transcription factor A reveals unusual features : 	
24529380	10.1016/j.cell.2014.01.024	Regulation of TORC1 in response to amino acid starvation via lysosomal recruitment of TSC2 : 	PMC4346203
19279104	10.1128/JVI.00097-09	The LMP1 promoter can be transactivated directly by NF-kappaB : 	PMC2682074
25463841	10.1016/j.ceb.2014.10.001	Hexosamine pathway and (ER) protein quality control : 	
24630720	10.1016/j.cell.2014.01.061	Hexosamine pathway metabolites enhance protein quality control and prolong life : 	
20208537	10.1038/ng.544	Mutations in the mitochondrial protease gene AFG3L2 cause dominant hereditary ataxia SCA28 : 	
24556366	10.1158/2159-8290.CD-13-0907	A functional cancer genomics screen identifies a druggable synthetic lethal interaction between MSH3 and PRKDC : 	
24398128	10.1002/embr.201338230	The seven wonders of ubiquitin: a multi-interview: Personal insights into the ubiquitin field. Interview by Nonia Pariente : 	PMC4303442
21900212	10.1093/carcin/bgr204	Altered tissue distribution of 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine-DNA adducts in mice transgenic for human sulfotransferases 1A1 and 1A2 : 	
19203579	10.1016/j.cell.2008.12.041	RNF168 binds and amplifies ubiquitin conjugates on damaged chromosomes to allow accumulation of repair proteins : 	
18245781	10.1093/hmg/ddn030	Age-associated mosaic respiratory chain deficiency causes trans-neuronal degeneration : 	PMC2367695
17615298	10.1091/mbc.E07-02-0164	OPA1 processing reconstituted in yeast depends on the subunit composition of the m-AAA protease in mitochondria : 	PMC1951777
24773528	10.1111/exd.12429	Role of integrin signalling through integrin-linked kinase in skin physiology and pathology : 	
20085732	10.1016/j.cmet.2009.12.006	Response: Point Mutations Are Causing Progeroid Phenotypes in the mtDNA Mutator Mouse : 	
20005181	10.1016/j.cmet.2009.12.001	Point mutations are causing progeroid phenotypes in the mtDNA mutator mouse : 	
19656491	10.1016/j.cmet.2009.06.010	Random point mutations with major effects on protein-coding genes are the driving force behind premature aging in mtDNA mutator mice : 	
20038678	10.1083/jcb.200906084	Regulation of OPA1 processing and mitochondrial fusion by m-AAA protease isoenzymes and OMA1 : 	PMC2806285
19759305	10.1523/jneurosci.5712-08.2009	Enhanced Stat3 activation in POMC neurons provokes negative feedback inhibition of leptin and insulin signaling in obesity : 	PMC6665760
24569520	10.1002/embr.201338225	Dynamic survey of mitochondria by ubiquitin : 	PMC3989689
27452396	10.1038/srep30290	Reduced insulin/insulin-like growth factor signaling decreases translation in Drosophila and mice : 	PMC4959029
19837028	10.1016/j.cell.2009.09.030	Structure casts light on mtDNA replication : 	
22345165	10.1093/intimm/dxs004	Arginine deficiency leads to impaired cofilin dephosphorylation in activated human T lymphocytes : 	
24675767	10.1371/journal.pgen.1004225	An insulin-to-insulin regulatory network orchestrates phenotypic specificity in development and physiology : 	PMC3967928
24675767	10.1371/journal.pgen.1004225	An insulin-to-insulin regulatory network orchestrates phenotypic specificity in development and physiology : 	PMC3967928
27040755	10.1002/jemt.22648	Advanced light microscopy core facilities: Balancing service, science and career : 	PMC5071710
27040755	10.1002/jemt.22648	Advanced light microscopy core facilities: Balancing service, science and career : 	PMC5071710
18708575	10.1101/gad.1701508	C. elegans dauer formation and the molecular basis of plasticity : 	PMC2735354
	DOI: 10.1126/science.329.5995.1015 	Dietary Restriction: Theory Fails to Satiate - Response : 	
22020114		Dietary Restriction: Standing Up for Sirtuins Response : 	
25815989	10.1016/j.cell.2015.02.020	Promoting Health and Longevity through Diet: From Model Organisms to Humans : 	PMC4547605
25820726	10.1007/978-1-4939-2550-6_18	Step-by-step preparation of proteins for mass spectrometric analysis : 	
WOS:000308098200011	10.1002/pmic.201100354	The OASIS (R) HLB mu Elution plate as a one-step platform for manual high-throughput in-gel digestion of proteins and peptide desalting : 	
25193138	10.1093/brain/awu249	Serum microRNAs in patients with genetic amyotrophic lateral sclerosis and pre-manifest mutation carriers : 	
23042113	10.1038/ng.2427 ng.2427 [pii] 10.1038/ng.2427	Variation in germline mtDNA heteroplasmy is determined prenatally but modified during subsequent transmission : 	PMC3492742
17981112	10.1016/j.cell.2007.10.027	Is energy deficiency good in moderation? : 	
20566479	10.1093/nar/gkq527	Maintenance of respiratory chain function in mouse hearts with severely impaired mtDNA transcription : 	PMC2965244
26084283	10.1136/jmedgenet-2015-102986	Rescue of primary ubiquinone deficiency due to a novel COQ7 defect using 2,4-dihydroxybensoic acid : 	PMC4680133
20002202	10.1111/j.1601-183X.2009.00542.x	MitoPark mice mirror the slow progression of key symptoms and L-DOPA response in Parkinson's disease : 	PMC4154513
18316025	S1550-4131(08)00002-8 [pii]10.1016/j.cmet.2008.01.001	"Stress-response hormesis and aging: ""that which does not kill us makes us stronger"" : "	
23190075	10.1146/annurev-physiol-030212-183712	Genetics of longevity in model organisms: debates and paradigm shifts : 	
22001671	10.1016/j.bbamcr.2011.09.015	Mitochondrial AAA proteases--towards a molecular understanding of membrane-bound proteolytic machines : 	
		Molecular basis of life history regulation in C. Elegans and other organisms : 	
23863169	10.1042/bst20130062	ILK: a pseudokinase with a unique function in the integrin-actin linkage : 	
22977156	10.1098/rspb.2012.1634	Sex peptide of Drosophila melanogaster males is a global regulator of reproductive processes in females : 	PMC3479807
18642835	10.1021/ol801425v	Syntheses and biological evaluation of B-ring-modified analogues of dafachronic acid A : 	PMC2659505
19471022	10.1126/scisignal.2000282	System-wide changes to SUMO modifications in response to heat shock : 	
26021816	10.18632/oncotarget.4137	Histone modifications change with age, dietary restriction and rapamycin treatment in mouse brain : 	PMC4599244
21233488	10.1096/fj.10-173625	Impaired nigrostriatal function precedes behavioral deficits in a genetic mitochondrial model of Parkinson's disease : 	PMC3058704
26691751	10.1038/cr.2015.148	Mutation of C. elegans demethylase spr-5 extends transgenerational longevity : 	PMC4746603
20195512	10.1371/journal.pgen.1000857	Molecular evolution and functional characterization of Drosophila insulin-like peptides : 	PMC2829060
632395508		The functions of Insulin-like peptides in insects : 	
25765558	10.1016/j.exppara.2015.03.001	A protocol for chemical mutagenesis in Strongyloides ratti : 	
25086003	10.1093/bioinformatics/btu519	Detection of active transcription factor binding sites with the combination of DNase hypersensitivity and histone modifications : 	
27023847	10.1146/annurev-biochem-060815-014402	Maintenance and Expression of Mammalian Mitochondrial DNA : 	
27023847	10.1146/annurev-biochem-060815-014402	Maintenance and Expression of Mammalian Mitochondrial DNA : 	
20620988	10.1016/j.cmet.2010.06.006	MTERF1 gives mtDNA an unusual twist : 	
24163253	10.1093/nar/gkt969	No recombination of mtDNA after heteroplasmy for 50 generations in the mouse maternal germline : 	PMC3902947
22056802		TFAM forces mtDNA to make a U-turn : 	
22056802		TFAM forces mtDNA to make a U-turn : 	
25088301		Making proteins in the powerhouse : 	
25088301		Making proteins in the powerhouse : 	
22056802	10.1038/nsmb.2167	TFAM forces mtDNA to make a U-turn : 	
22056802	10.1038/nsmb.2167	TFAM forces mtDNA to make a U-turn : 	
25088301	10.1016/j.cmet.2014.07.001	Making proteins in the powerhouse : 	
25088301	10.1016/j.cmet.2014.07.001	Making proteins in the powerhouse : 	
27658015	10.1038/nprot.2016.103	Efficient genome engineering approaches for the short-lived African turquoise killifish : 	
23599432	10.1074/jbc.M113.471649	The leucine-rich pentatricopeptide repeat-containing protein (LRPPRC) does not activate transcription in mammalian mitochondria : 	PMC3668712
23994228	10.1016/j.bbapap.2013.08.004	Secretome profiling of primary human skeletal muscle cells : 	
23935515	10.1371/journal.pgen.1003651	Dietary restriction induced longevity is mediated by nuclear receptor NHR-62 in Caenorhabditis elegans : 	PMC3723528
21771794	10.1074/jbc.M111.221986	Nitric oxide-associated protein 1 (NOA1) is necessary for oxygen-dependent regulation of mitochondrial respiratory complexes : 	PMC3173199
25142335	10.1186/1471-2164-15-696	The genome of Eimeria falciformis--reduction and specialization in a single host apicomplexan parasite : 	PMC4287421
23817550	10.1038/nn.3449	The fat mass and obesity associated gene (Fto) regulates activity of the dopaminergic midbrain circuitry : 	
26383043	10.3109/10409238.2015.1067186	Nuclear hormone receptors: Roles of xenobiotic detoxification and sterol homeostasis in healthy aging : 	
25830239	10.1371/journal.pgen.1005023	Co-chaperone p23 regulates C. elegans Lifespan in Response to Temperature : 	PMC4382338
24613396	10.1016/j.devcel.2014.01.028	DRE-1/FBXO11-dependent degradation of BLMP-1/BLIMP-1 governs C. elegans developmental timing and maturation : 	PMC4040421
31153925	10.1016/j.yexcr.2019.05.033	"Special issue on ""mechanotransduction in cell fate determination"" - From molecular switches to organ-level regulation : "	
31326398	10.1016/j.jid.2019.06.137	Mechanical Forces in the Skin: Roles in Tissue Architecture, Stability, and Function : 	
31336098	10.1016/j.devcel.2019.06.012	Somatic Niche Cells Regulate the CEP-1/p53-Mediated DNA Damage Response in Primordial Germ Cells : 	
31401286	10.1016/j.jaci.2019.07.033	Epidermal mammalian target of rapamycin complex 2 controls lipid synthesis and filaggrin processing in epidermal barrier formation : 	
31735435	10.1016/j.ceb.2019.10.002	Editorial overview: Cell differentiation and development - wiring principles of transcriptional states, signaling networks and cell fate trajectories : 	
32879478	10.1038/d41586-020-02490-3	How cancer invasion takes shape : 	
32259486	10.1016/j.cell.2020.03.015	Defining the Design Principles of Skin Epidermis Postnatal Growth : 	PMC7198979
32302590	10.1016/j.cell.2020.03.052	Heterochromatin-Driven Nuclear Softening Protects the Genome against Mechanical Stress-Induced Damage : 	PMC7237863
32905798	10.1016/j.cmet.2020.08.011	Glutamine Metabolism Controls Stem Cell Fate Reversibility and Long-Term Maintenance in the Hair Follicle : 	
33462495	10.1038/s41589-020-00709-y	BETting against wound healing : 	
33568797	10.1038/s41580-021-00347-9	Shaping the stem cell field : 	
33310912	10.1242/jcs.247643	Hydrostatic pressure prevents chondrocyte differentiation through heterochromatin remodeling : 	PMC7860130
33637728	10.1038/s41467-021-21513-9	Mechanochemical control of epidermal stem cell divisions by B-plexins : 	PMC7910479
33965403	10.1016/j.jid.2021.04.008	Laminin 332 Is Indispensable for Homeostatic Epidermal Differentiation Programs : 	
33973637	10.1242/jcs.252767	N1-acetylspermidine is a determinant of hair follicle stem cell fate : 	PMC8182411
34042944	10.1083/jcb.202008062	Cell influx and contractile actomyosin force drive mammary bud growth and invagination : 	PMC8164091
34081532	10.1091/mbc.E21-03-0106	Calcium signaling mediates a biphasic mechanoadaptive response of endothelial cells to cyclic mechanical stretch : 	PMC8684738
34239060	10.1038/s41556-021-00705-x	Niche stiffening compromises hair follicle stem cell potential during ageing by reducing bivalent promoter accessibility : 	
35259013	10.1101/2021.03.30.437490	ATP allosterically stabilizes Integrin-linked kinase for efficient force generation : 	PMC8933812
35259013	10.1101/2021.03.30.437490	ATP allosterically stabilizes Integrin-linked kinase for efficient force generation : 	PMC8933812
24184352	10.1016/j.ymeth.2013.10.011	iCLIP: protein-RNA interactions at nucleotide resolution : 	PMC3988997
20360068	10.1126/science.1181348	Systematic analysis of human protein complexes identifies chromosome segregation proteins : 	PMC2989461
19585275	10.1007/s11357-009-9105-4	Chemical changes in aging Drosophila melanogaster : 	PMC2813051
25643582	10.15252/emmm.201404916	Inhibition of insulin/IGF-1 receptor signaling protects from mitochondria-mediated kidney failure : 	PMC4364945
25558066	10.1016/j.celrep.2014.12.019	Analysis of intron sequences reveals hallmarks of circular RNA biogenesis in animals : 	
25922346	10.1093/gerona/glv047	Longevity GWAS Using the Drosophila Genetic Reference Panel : 	PMC4631106
24638872	10.1007/s40259-014-0091-4	Multi-specific antibodies for cancer immunotherapy : 	
25228552	10.1159/000360205	The challenging aspects of managing adolescents and young adults with Hodgkin's lymphoma : 	
21525185	10.1158/1535-7163.MCT-10-1093	Induction of in vitro and in vivo NK cell cytotoxicity using high-avidity immunoligands targeting prostate-specific membrane antigen in prostate carcinoma : 	
20367621	ACE573 [pii]10.1111/j.1474-9726.2010.00573.x	Biomarkers of aging in Drosophila : 	PMC4467031
27557097	10.1371/journal.pone.0161315	Oral Supplementation of Glucosamine Fails to Alleviate Acute Kidney Injury in Renal Ischemia-Reperfusion Damage : 	PMC4996512
26681804	10.1093/hmg/ddv508	Tissue-specific modulation of mitochondrial DNA segregation by a defect in mitochondrial division : 	
24453122	10.1002/anie.201307465	A photocleavable masked nuclear-receptor ligand enables temporal control of C. elegans development : 	PMC4016105
20016108	10.1523/jneurosci.3910-09.2009	Nurr1 is required for maintenance of maturing and adult midbrain dopamine neurons : 	PMC6666174
26050972	10.1016/j.bbabio.2015.06.001	Mitochondrial DNA: Radically free of free-radical driven mutations : 	
25683707	10.1016/j.celrep.2015.01.012	Organization of Mitochondrial Gene Expression in Two Distinct Ribosome-Containing Assemblies : 	
19969390	S0197-4580(09)00356-X [pii]10.1016/j.neurobiolaging.2009.10.015	Dietary restriction delays aging, but not neuronal dysfunction, in Drosophila models of Alzheimer's disease : 	PMC3176895
26001724	10.1093/brain/awv132	Loss of PLA2G6 leads to elevated mitochondrial lipid peroxidation and mitochondrial dysfunction : 	PMC4559908
17994010	10.1038/ncb1659	Genome-scale RNAi profiling of cell division in human tissue culture cells : 	
26669658	10.1038/srep18344	Interaction of MDM33 with mitochondrial inner membrane homeostasis pathways in yeast : 	PMC4680886
23086957	10.1074/jbc.M112.419424	The mitochondrial amidoxime-reducing component (mARC1) is a novel signal-anchored protein of the outer mitochondrial membrane : 	PMC3525010
26519530	10.4049/jimmunol.1501237	Myeloid Cell-Restricted Insulin/IGF-1 Receptor Deficiency Protects against Skin Inflammation : 	PMC4789495
26519530	10.4049/jimmunol.1501237	Myeloid Cell-Restricted Insulin/IGF-1 Receptor Deficiency Protects against Skin Inflammation : 	PMC4789495
21195351	10.1016/j.cmet.2010.12.007	A common variant in TFB1M is associated with reduced insulin secretion and increased future risk of type 2 diabetes : 	
21619481	10.1515/BC.2011.066	Cooperative and independent activities of Sgt2 and Get5 in the targeting of tail-anchored proteins : 	
24681487	10.1002/embj.201387009	Loss of the m-AAA protease subunit AFG(3)L(2) causes mitochondrial transport defects and tau hyperphosphorylation : 	PMC4193934
21641553	10.1016/j.cmet.2011.03.021	Role for insulin signaling in catecholaminergic neurons in control of energy homeostasis : 	
19656850	10.1091/mbc.E09-03-0218	Autocatalytic processing of m-AAA protease subunits in mitochondria : 	PMC2754935
24339785	10.1371/journal.pgen.1003960	CRIS-a novel cAMP-binding protein controlling spermiogenesis and the development of flagellar bending : 	PMC3854790
25297440	10.1038/nature13690	POLRMT does not transcribe nuclear genes : 	
27532055	10.1126/sciadv.1600963	POLRMT regulates the switch between replication primer formation and gene expression of mammalian mtDNA : 	PMC4975551
27532055	10.1126/sciadv.1600963	POLRMT regulates the switch between replication primer formation and gene expression of mammalian mtDNA : 	PMC4975551
18353857	10.1093/nar/gkn124	Generation of rho0 cells utilizing a mitochondrially targeted restriction endonuclease and comparative analyses : 	PMC2367725
26305956	10.1073/pnas.1512131112	Cross-strand binding of TFAM to a single mtDNA molecule forms the mitochondrial nucleoid : 	PMC4568684
23721879	10.1016/j.tcb.2013.04.009	mtDNA makes a U-turn for the mitochondrial nucleoid : 	
21808029	10.1073/pnas.1109263108	Super-resolution microscopy reveals that mammalian mitochondrial nucleoids have a uniform size and frequently contain a single copy of mtDNA : 	PMC3158146
23432181	10.1111/joim.12055	The role of mitochondrial DNA mutations and free radicals in disease and ageing : 	PMC3675642
26247782	10.1371/journal.pgen.1005423	SLIRP Regulates the Rate of Mitochondrial Protein Synthesis and Protects LRPPRC from Degradation : 	PMC4527767
27634042	10.1074/jbc.M116.721894	Disruption of Macrodomain Protein SCO6735 Increases Antibiotic Production in Streptomyces coelicolor : 	PMC5087735
27634042	10.1074/jbc.M116.721894	Disruption of Macrodomain Protein SCO6735 Increases Antibiotic Production in Streptomyces coelicolor : 	PMC5087735
26335922	10.1186/s12864-015-1858-9	Cross-tissue and cross-species analysis of gene expression in skeletal muscle and electric organ of African weakly-electric fish (Teleostei; Mormyridae) : 	PMC4558960
19192034	10.1111/j.1365-2796.2008.02064.x	Introduction: Euromit VII--summarizing 50 years of research on mitochondrial disease : 	
20350166	10.1146/annurev-biochem-060408-093701	Somatic mitochondrial DNA mutations in mammalian aging : 	
19427217	10.1016/j.cub.2009.04.033	HAUS, the 8-subunit human Augmin complex, regulates centrosome and spindle integrity : 	
23086237	10.1038/ncb2591	Subdiffraction imaging of centrosomes reveals higher-order organizational features of pericentriolar material : 	
27398909	10.1038/ncb3387	Mechanical regulation of transcription controls Polycomb-mediated gene silencing during lineage commitment : 	
21147776	10.1074/jbc.M110.158741	Electron cryomicroscopy structure of a membrane-anchored mitochondrial AAA protease : 	PMC3039362
26464487	10.1093/hmg/ddv427	Overexpression of the mitochondrial methyltransferase TFB1M in the mouse does not impact mitoribosomal methylation status or hearing : 	PMC4664167
22914740	10.1093/hmg/dds352	Mitofusin 2 is necessary for striatal axonal projections of midbrain dopamine neurons : 	
27723750	10.1038/nchembio.2180	Serine is a new target residue for endogenous ADP-ribosylation on histones : 	PMC5113755
22370482	10.4161/cc.11.6.19559	The ubiquitin E1 enzyme Ube1 mediates NEDD8 activation under diverse stress conditions : 	
20083405	10.1016/j.nmd.2009.11.013	Two novel mutations in thymidine kinase-2 cause early onset fatal encephalomyopathy and severe mtDNA depletion : 	
24985350	10.2337/db13-1855	Defects in beta-cell Ca2+ dynamics in age-induced diabetes : 	
25211020	10.3109/13813455.2014.955032	Up to date sample preparation of proteins for mass spectrometric analysis : 	
20075863	10.1038/emboj.2009.400	A viral E3 ligase targets RNF8 and RNF168 to control histone ubiquitination and DNA damage responses : 	PMC2837166
26712463	http://dx.doi.org/10.1016/j.cmet.2015.11.014	Assessing the Mitochondrial Membrane Potential in Cells and In Vivo using Targeted Click Chemistry and Mass Spectrometry : 	PMC4752821
25902704	10.1111/acel.12338	Interventions to Slow Aging in Humans: Are We Ready? : 	PMC4531065
23746838	10.1016/j.cell.2013.05.039	The hallmarks of aging : 	PMC3836174
21179022	10.1038/msb.2010.106	Defining the transcriptome and proteome in three functionally different human cell lines : 	PMC3018165
26095671	10.1038/ncomms8303	The exonuclease activity of DNA polymerase gamma is required for ligation during mitochondrial DNA replication : 	PMC4557304
18406164	10.1016/j.tem.2008.02.005	Caenorhabditis elegans nuclear receptors: insights into life traits : 	PMC2744080
23931753	10.1016/j.cmet.2013.07.007	The NHR-8 nuclear receptor regulates cholesterol and bile acid homeostasis in C. elegans : 	PMC3909615
24411940	10.1016/j.cmet.2013.11.024	Comparative metabolomics reveals endogenous ligands of DAF-12, a nuclear hormone receptor, regulating C. elegans development and lifespan : 	PMC3924769
23404105	10.1242/dev.091298	Deletion of integrin linked kinase in endothelial cells results in defective RTK signaling caused by caveolin 1 mislocalization : 	
		Histone Modifications in Ageing and Lifespan Regulation : 	
25927548	10.1186/s12881-015-0159-0	An atypical form of AOA2 with myoclonus associated with mutations in SETX and AFG3L2 : 	PMC4422141
22847107	10.1038/nmeth.2106	Reanalysis of phosphoproteomics data uncovers ADP-ribosylation sites : 	PMC3428868
22350890	10.1007/978-1-61779-474-2_17	Detection and quantitation of SUMO chains by mass spectrometry : 	
21830832	10.1021/pr2004715	Absolute SILAC-compatible expression strain allows Sumo-2 copy number determination in clinical samples : 	PMC3189705
18707152	10.1021/pr800368m	Phosphorylation of SUMO-1 occurs in vivo and is conserved through evolution : 	
20797634	10.1016/j.molcel.2010.07.026	Site-specific identification of SUMO-2 targets in cells reveals an inverted SUMOylation motif and a hydrophobic cluster SUMOylation motif : 	
17938407	10.1074/mcp.M700173-MCP200	In vivo identification of human small ubiquitin-like modifier polymerization sites by high accuracy mass spectrometry and an in vitro to in vivo strategy : 	PMC3840926
24681566	10.1038/ni.2865	Signaling by IL-6 promotes alternative activation of macrophages to limit endotoxemia and obesity-associated resistance to insulin : 	PMC4161471
	http://dx.doi.org/10.1016/j.celrep.2015.05.033	Fasting, but Not Aging, Dramatically Alters the Redox Status of Cysteine Residues on Proteins in Drosophila melanogaster : 	
18281461	10.1101/gad.460708	Prohibitins control cell proliferation and apoptosis by regulating OPA1-dependent cristae morphogenesis in mitochondria : 	PMC2238669
19109886	10.1016/j.cell.2008.12.005	Mitofusin 2 builds a bridge between ER and mitochondria : 	
18558096	10.1016/j.bbamcr.2008.05.013	Prohibitin function within mitochondria: essential roles for cell proliferation and cristae morphogenesis : 	
23144624	10.1371/journal.pgen.1003021	Loss of prohibitin membrane scaffolds impairs mitochondrial architecture and leads to tau hyperphosphorylation and neurodegeneration : 	PMC3493444
18316029	10.1016/j.cmet.2008.01.007	Activation of Stat3 signaling in AgRP neurons promotes locomotor activity : 	
24040317	10.1371/journal.pone.0074681	Dietary restriction extends lifespan in wild-derived populations of Drosophila melanogaster : 	PMC3769260
24690889	10.1371/journal.pbio.1001824	Lowered insulin signalling ameliorates age-related sleep fragmentation in Drosophila : 	PMC3972082
19356719	10.1016/j.cmet.2009.03.001	Methylation of 12S rRNA is necessary for in vivo stability of the small subunit of the mammalian mitochondrial ribosome : 	
24516400	10.1371/journal.pgen.1004110	NSUN4 is a dual function mitochondrial protein required for both methylation of 12S rRNA and coordination of mitoribosomal assembly : 	PMC3916286
24516400	10.1371/journal.pgen.1004110	NSUN4 is a dual function mitochondrial protein required for both methylation of 12S rRNA and coordination of mitoribosomal assembly : 	PMC3916286
24516400	10.1371/journal.pgen.1004110	NSUN4 Is a Dual Function Mitochondrial Protein Required for Both Methylation of 12S rRNA and Coordination of Mitoribosomal Assembly : 	PMC3916286
24516400	10.1371/journal.pgen.1004110	NSUN4 Is a Dual Function Mitochondrial Protein Required for Both Methylation of 12S rRNA and Coordination of Mitoribosomal Assembly : 	PMC3916286
25955201	10.1016/j.cmet.2015.04.020	Mic10 Oligomerization Pinches off Mitochondrial Cristae : 	PMC4431669
23393161	10.1093/hmg/ddt051	TWINKLE is an essential mitochondrial helicase required for synthesis of nascent D-loop strands and complete mtDNA replication : 	PMC3633371
26071602	10.15252/embr.201540229	Structural insight into the TRIAP1/PRELI-like domain family of mitochondrial phospholipid transfer complexes : 	PMC4515122
23135281	10.1074/jbc.M112.430140	Mediator phosphorylation prevents stress response transcription during non-stress conditions : 	PMC3531718
23463387	10.1039/c3mb25597b	A Boolean view separates platelet activatory and inhibitory signalling as verified by phosphorylation monitoring including threshold behaviour and integrin modulation : 	
25776552	10.1128/MCB.00047-15	Stomatin-like protein 2 is required for in vivo mitochondrial respiratory chain supercomplex formation and optimal cell function : 	PMC4405640
25103406		C9orf72 repeat expansions cause neurodegeneration in Drosophila through arginine-rich proteins : 	PMC4944841
18208398	10.1042/BST0360120	Common and specific mechanisms of AAA+ proteins involved in protein quality control : 	
26497683	10.18632/oncotarget.6154	A novel prohibitin-binding compound induces the mitochondrial apoptotic pathway through NOXA and BIM upregulation : 	PMC4747186
26349061	10.1038/ncomms9198	Integrin-linked kinase regulates the niche of quiescent epidermal stem cells : 	PMC4569844
23974089	10.4161/cc.26213	The weakest link: a new paradigm for stabilizing the integrin-actin connection : 	PMC3875664
21209622	10.1038/nsmb0111-1	The life of proteins: the good, the mostly good and the ugly : 	
21886481	10.1371/journal.pbio.1001129	Tracing the trail of protons through complex I of the mitochondrial respiratory chain : 	PMC3160332
25470551	10.1016/j.cmet.2014.11.005	The respiratory chain supercomplex organization is independent of COX7a2l isoforms : 	PMC4261080
25688136	10.1083/jcb.201411100	Mitofusin 2 is required to maintain mitochondrial coenzyme Q levels : 	PMC4332246
25688136	10.1083/jcb.201411100	Mitofusin 2 is required to maintain mitochondrial coenzyme Q levels : 	PMC4332246
24399447	10.1093/hmg/ddt652	Loss of LRPPRC causes ATP synthase deficiency : 	PMC3990160
23453807	10.1016/j.molcel.2013.01.036	The E3 ligase parkin maintains mitochondrial integrity by increasing linear ubiquitination of NEMO : 	
21459321	10.1016/j.cmet.2011.03.010	Unraveling the biological roles of reactive oxygen species : 	PMC4445605
23430898	10.1007/8904_2011_73	Complete Deletion of a POLG1 Allele in a Patient with Alpers Syndrome : 	PMC3509876
19103152	10.1016/j.bbabio.2008.11.014	MtDNA mutations are a common cause of severe disease phenotypes in children with Leigh syndrome : 	
19103152	10.1016/j.bbabio.2008.11.014	MtDNA mutations are a common cause of severe disease phenotypes in children with Leigh syndrome : 	
